no_spm;sum(jumlah_debet)
00002/FSM/SPM-LSK/SEP/2017;58267000
00002/FSM/SPM-LSNK/OKT/2017;17100000
00002/FSM/SPM-TUP/DES/2017;779931755
00002/FTE/SPM-LSK/AGU/2017;47842000
00002/FTE/SPM-LSNK/AGU/2017;9500000
00002/FTE/SPM-TUP-NIHIL/SEP/2017;1038140167
00002/FTE/SPM-TUP/AGU/2017;1038140167
00002/LMP/SPM-EM/DES/2017;24323863
00002/LMP/SPM-GUP/FEB/2017;172809700
00002/LMP/SPM-LSK/OKT/2017;55901000
00002/LMP/SPM-LSNK/DES/2017;23150000
00002/LMP/SPM-TUP-NIHIL/AGU/2017;840144000
00002/LPM/SPM-GUP/MAR/2017;286400000
00002/LPM/SPM-LSK/OKT/2017;59160000
00002/LPM/SPM-LSNK/DES/2017;49996000
00002/LPM/SPM-TUP/SEP/2017;340600000
00002/MWA/SPM-GUP/APR/2017;4394000
00002/MWA/SPM-LSK/DES/2017;64350000
00002/MWA/SPM-LSNK/NOV/2017;10000000
00002/MWA/SPM-UP/FEB/2017;250000000
00002/PTN/SPM-GUP/JUN/2017;34320000
00002/PTN/SPM-LS PGW/APR/2017;16065590
00002/PTN/SPM-LSK/AGU/2017;122883340
00002/PTN/SPM-LSNK/AGU/2017;1667903
00002/PTN/SPM-TUP-NIHIL/DES/2017;750000000
00002/RSN/SPM-GUP/MAR/2017;275204256
00002/RSN/SPM-LS PGW/FEB/2017;13176000
00002/RSN/SPM-LSK/AGU/2017;109000000
00002/RSN/SPM-LSNK/AGU/2017;20680500
00002/SPB/SPM-TUP/DES/2017;31051424933
00002/SPI/SPM-GUP/APR/2017;17652600
00002/SPS/SPM-LS PGW/FEB/2017;38795515
00002/SPS/SPM-LSK/DES/2017;185641000
00002/SPS/SPM-LSNK/NOV/2017;3845000
00002/SPS/SPM-TUP-NIHIL/DES/2017;353669676
00002/SVO/SPM-GUP/MAR/2017;301099506
00002/SVO/SPM-LSK/AGU/2017;44013200
00002/SVO/SPM-LSNK/OKT/2017;7000000
00002/SVO/SPM-TUP-NIHIL/AGU/2017;203915000
00002/SVO/SPM-TUP/AGU/2017;203915000
00002/W11/SPM-GUP/APR/2017;214110800
00002/W11/SPM-LS PGW/DES/2017;5287500
00002/W11/SPM-LSK/AGU/2017;123585000
00002/W11/SPM-LSNK/AGU/2017;6232800
00002/W11/SPM-TUP-NIHIL/SEP/2017;228690000
00002/W11/SPM-TUP/AGU/2017;228690000
00002/W12/SPM-GUP/APR/2017;174712500
00002/W12/SPM-LSK/SEP/2017;481635000
00002/W12/SPM-LSNK/AGU/2017;22680000
00002/W12/SPM-TUP-NIHIL/DES/2017;884190000
00002/W14/SPM-GUP/JUN/2017;29691600
00002/W14/SPM-TUP-NIHIL/DES/2017;60000000
00002/W14/SPM-TUP/DES/2017;60000000
00002/W21/SPM-GUP/MEI/2017;49354400
00002/W21/SPM-LSNK/SEP/2017;17000000
00002/W23/SPM-GUP/MAR/2017;5639400
00002/W23/SPM-LS PGW/FEB/2017;5925000000
00002/W23/SPM-LSK/AGU/2017;168740000
00002/W23/SPM-LSNK/AGU/2017;1637500
00002/W23/SPM-TUP-NIHIL/AGU/2017;14150000000
00002/W23/SPM-TUP/JUL/2017;14150000000
00002/W24/SPM-GUP/APR/2017;20033000
00002/W24/SPM-LSNK/SEP/2017;2700000
00002/W24/SPM-TUP-NIHIL/DES/2017;100000000
00002/W24/SPM-TUP/DES/2017;100000000
00002/W32/SPM-GUP/APR/2017;16736300
00002/W32/SPM-LSNK/OKT/2017;13065000
00002/W34/SPM-GUP/MAR/2017;28320500
00002/W34/SPM-LSNK/OKT/2017;27500000
00002/W44/SPM-GUP/MAR/2017;42448800
